dzongkhag,validation_year,model,RMSE,MAE,MAPE,MASE
THIMPHU,2024,SARIMA,1.2459214373155625,1.004261170251618,11.472545668105083,1.2285334991292447
TRASHIGANG,2022,Seasonal Naive,0.020752154411495444,0.015101989999999996,9.877873181178991,0.5412147092330829
TRASHIGANG,2022,Holt-Winters,0.0316176138133177,0.02342631683603601,15.064529876597845,0.8395361972042961
TRASHIGANG,2022,SARIMA,0.03910071635393307,0.035687158598687894,25.529213031675123,1.2789317940446119
TRASHIGANG,2023,Seasonal Naive,0.01682175795057723,0.010533282499999998,7.790787163118669,0.4039603877673191
TRASHIGANG,2023,Holt-Winters,0.018309262971243977,0.01692078992125385,13.772651334461795,0.648926757439483
TRASHIGANG,2023,SARIMA,0.025769257748772038,0.022209986985810688,17.140161968640502,0.8517719860921985
TRASHIGANG,2024,Seasonal Naive,0.010031022990868544,0.00769178333333333,5.468755479190917,0.31873370504584264
TRASHIGANG,2024,Holt-Winters,0.012656614776334575,0.00890579780756933,5.866011067480705,0.36904028735369765
TRASHIGANG,2024,SARIMA,0.009471879939582744,0.007962416372393507,5.605212645579099,0.32994825276634954
TRASHIYANGTSE,2022,Seasonal Naive,0.02049795238757602,0.013613583333333333,10.550292156583623,0.930211079330242
TRASHIYANGTSE,2022,Holt-Winters,0.01829331732359487,0.013599510917914906,10.37208930164854,0.9292495164254111
TRASHIYANGTSE,2022,SARIMA,0.019841612891114066,0.015134170651792364,11.811892700617843,1.034112244518417
TRASHIYANGTSE,2023,Seasonal Naive,0.015321859357358254,0.009436999999999996,8.496079773370473,0.6513202581118253
TRASHIYANGTSE,2023,Holt-Winters,0.011569930257620646,0.008409415711686475,8.094301408253331,0.5803987296710051
TRASHIYANGTSE,2023,SARIMA,0.014177547898910826,0.011341822771977398,11.25430033038055,0.7827867897957931
TRASHIYANGTSE,2024,Seasonal Naive,0.007763546932081046,0.006279312500000002,5.573319675952068,0.45313367129845533
TRASHIYANGTSE,2024,Holt-Winters,0.008632210747956115,0.0058401182651599695,4.997590969774223,0.4214401226741147
TRASHIYANGTSE,2024,SARIMA,0.006914349745881561,0.005369055538413843,4.804766400453597,0.3874468498783535
TRONGSA,2022,Seasonal Naive,0.011409422641793343,0.008374416666666664,7.396745764845826,0.5712848915944094
TRONGSA,2022,Holt-Winters,0.013675509686097634,0.011884094554471663,11.6670860681026,0.8107076515875603
TRONGSA,2022,SARIMA,0.011972808948214174,0.009634049171362236,8.422507793035884,0.6572143416727796
TRONGSA,2023,Seasonal Naive,0.014727099675849275,0.009202333333333331,7.397610245037223,0.6687193313173488
TRONGSA,2023,Holt-Winters,0.009436596156953733,0.0076823285483090765,7.928609142001143,0.5582629343773781
TRONGSA,2023,SARIMA,0.012104073242567782,0.0075766127997564554,6.156441281748718,0.550580734426443
TRONGSA,2024,Seasonal Naive,0.010805759430080174,0.007584915,6.489999685675531,0.5749946176565125
TRONGSA,2024,Holt-Winters,0.009932358587263289,0.007893351453338476,7.512687860241053,0.5983764618246658
TRONGSA,2024,SARIMA,0.009149611162007729,0.006237730699438831,5.335014466994353,0.47286773530990406
TSIRANG,2022,Seasonal Naive,0.018669194663053446,0.011641666666666666,8.874382333015124,1.483821197527616
TSIRANG,2022,Holt-Winters,0.01900791214745844,0.010870572172135268,7.62157850576848,1.3855391912614001
TSIRANG,2022,SARIMA,0.01755659641180596,0.010883257419409856,8.341734742194364,1.3871560249451722
TSIRANG,2023,Seasonal Naive,0.017086532328483645,0.013926896666666667,11.038740944710245,1.660333770626061
TSIRANG,2023,Holt-Winters,0.012499004209834921,0.00929531787877467,7.707362992820227,1.108167207111739
TSIRANG,2023,SARIMA,0.011184092454079548,0.007492177475449068,5.797575524872058,0.8932008024289686
