Month,Dzongkhag,Forecast,lower_80,upper_80,lower_95,upper_95,Selected_Model
2026-01-01,MONGAR,0.40303074349041756,0.3573088392744316,0.44875264770640355,0.3331051252185995,0.47295636176223566,SARIMA
2026-02-01,MONGAR,0.3927485437235883,0.3470266395076023,0.4384704479395743,0.3228229254517702,0.4626741619954064,SARIMA
2026-03-01,MONGAR,0.3409810349745286,0.2952591307585426,0.38670293919051457,0.2710554167027105,0.4109066532463467,SARIMA
2026-04-01,MONGAR,0.2948391897101717,0.24911728549418571,0.3405610939261577,0.2249135714383536,0.3647648079819898,SARIMA
2026-05-01,MONGAR,0.2518721101783719,0.20615020596238592,0.2975940143943579,0.18194649190655382,0.32179772845019,SARIMA
2026-06-01,MONGAR,0.24174288408481587,0.19602097986882988,0.28746478830080185,0.17181726581299778,0.31166850235663396,SARIMA
2026-07-01,MONGAR,0.2615688783996718,0.2158469741836858,0.3072907826156578,0.1916432601278537,0.3314944966714899,SARIMA
2026-08-01,MONGAR,0.26531515826249613,0.21959325404651014,0.3110370624784821,0.19538953999067804,0.3352407765343142,SARIMA
2026-09-01,MONGAR,0.26274092549001626,0.21701902127403028,0.30846282970600225,0.19281530721819817,0.33266654376183435,SARIMA
2026-10-01,MONGAR,0.25776706070828964,0.21204515649230365,0.30348896492427563,0.18784144243647155,0.32769267898010773,SARIMA
2026-11-01,MONGAR,0.24811565173221534,0.20239374751622935,0.2938375559482013,0.17819003346039725,0.3180412700040334,SARIMA
2026-12-01,MONGAR,0.308303151097392,0.262581246881406,0.35402505531337797,0.2383775328255739,0.37822876936921007,SARIMA
2026-01-01,PARO,0.2763352371201574,0.2306680310019574,0.32200244323835736,0.20649327237002796,0.34617720187028683,SARIMA
2026-02-01,PARO,0.27175506597023286,0.22608785985203286,0.3174222720884328,0.20191310122010342,0.3415970307203623,SARIMA
2026-03-01,PARO,0.22548663443746694,0.17981942831926695,0.27115384055566694,0.1556446696873375,0.29532859918759635,SARIMA
2026-04-01,PARO,0.20763532094897003,0.16196811483077003,0.25330252706717,0.1377933561988406,0.27747728569909946,SARIMA
2026-05-01,PARO,0.17740139804557425,0.13173419192737426,0.22306860416377425,0.10755943329544482,0.2472433627957037,SARIMA
2026-06-01,PARO,0.1661607762645405,0.12049357014634052,0.2118279823827405,0.09631881151441107,0.23600274101466995,SARIMA
2026-07-01,PARO,0.16399637298011452,0.11832916686191453,0.2096635790983145,0.09415440822998508,0.23383833773024396,SARIMA
2026-08-01,PARO,0.14823989692557746,0.10257269080737746,0.19390710304377745,0.07839793217544802,0.2180818616757069,SARIMA
2026-09-01,PARO,0.15856782831600064,0.11290062219780064,0.20423503443420063,0.0887258635658712,0.22840979306613007,SARIMA
2026-10-01,PARO,0.1622256179319516,0.1165584118137516,0.20789282405015158,0.09238365318182215,0.23206758268208103,SARIMA
2026-11-01,PARO,0.20014665847587468,0.15447945235767468,0.24581386459407467,0.13030469372574524,0.26998862322600414,SARIMA
2026-12-01,PARO,0.24081809991746053,0.19515089379926054,0.2864853060356605,0.1709761351673311,0.31066006466759,SARIMA
2026-01-01,PEMAGATSHEL,0.19881856664461983,0.18329219810961825,0.21434493517962142,0.1750730350893857,0.22256409819985395,Holt-Winters
2026-02-01,PEMAGATSHEL,0.1958939792359191,0.18036761070091753,0.2114203477709207,0.172148447680685,0.21963951079115324,Holt-Winters
2026-03-01,PEMAGATSHEL,0.16816400457692948,0.1526376360419279,0.18369037311193107,0.14441847302169536,0.1919095361321636,Holt-Winters
2026-04-01,PEMAGATSHEL,0.1534860745703329,0.1379597060353313,0.16901244310533448,0.12974054301509877,0.17723160612556701,Holt-Winters
2026-05-01,PEMAGATSHEL,0.14575646162812456,0.13023009309312297,0.16128283016312614,0.12201093007289043,0.16950199318335868,Holt-Winters
2026-06-01,PEMAGATSHEL,0.1645458324891532,0.1490194639541516,0.18007220102415478,0.14080030093391907,0.18829136404438732,Holt-Winters
2026-07-01,PEMAGATSHEL,0.17538294384284678,0.1598565753078452,0.19090931237784836,0.15163741228761266,0.1991284753980809,Holt-Winters
2026-08-01,PEMAGATSHEL,0.17661907336115049,0.1610927048261489,0.19214544189615207,0.15287354180591636,0.2003646049163846,Holt-Winters
2026-09-01,PEMAGATSHEL,0.18196862770119435,0.16644225916619276,0.19749499623619593,0.15822309614596022,0.20571415925642847,Holt-Winters
2026-10-01,PEMAGATSHEL,0.17365325175468777,0.15812688321968618,0.18917962028968935,0.14990772019945364,0.1973987833099219,Holt-Winters
2026-11-01,PEMAGATSHEL,0.1530918461276738,0.1375654775926722,0.16861821466267538,0.12934631457243967,0.17683737768290791,Holt-Winters
2026-12-01,PEMAGATSHEL,0.156003991576353,0.14047762304135142,0.17153036011135459,0.13225846002111888,0.17974952313158712,Holt-Winters
2026-01-01,PUNAKHA,0.16613127438073208,0.14092090149747308,0.19134164726399108,0.12757533623788003,0.20468721252358413,Holt-Winters
2026-02-01,PUNAKHA,0.14521400403204035,0.12000363114878135,0.17042437691529935,0.10665806588918829,0.1837699421748924,Holt-Winters
